paper_id,cap_category,normalization_fit_scope,test_window_policy,validation_boundary,seed_reporting,repetition_count_reported,run_level_dispersion,rmse_nasa_pair,code_path,cmapss_all_four,n_cmapss_included,source_quality,verification_basis
C01,other_explicit,not_confirmed,endpoint_per_engine,unclear,not_reported,no,absent,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass
C02,cap_125,not_confirmed,endpoint_per_engine,unclear,not_reported,no,absent,no,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass
C03,cap_125,not_confirmed,endpoint_per_engine,separate_non_test,not_reported,yes,usable,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass
C04,other_explicit,not_confirmed,endpoint_per_engine,unclear,not_reported,yes,absent,yes,none_or_nonreproducible,no,no,C,local_pdf_preflight_pass
C05,cap_125,not_confirmed,endpoint_per_engine,unclear,not_reported,yes,absent,yes,none_or_nonreproducible,no,no,C,local_pdf_preflight_pass
C06,unreported,train_or_source_only,endpoint_per_engine,test_monitored_or_tuned,not_reported,no,absent,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass
C07,cap_125,not_confirmed,all_window_or_chunk,unclear,not_reported,yes,absent,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass
C08,cap_125,not_confirmed,endpoint_per_engine,unclear,not_reported,no,absent,yes,some_code_path,yes,no,C,local_pdf_preflight_pass
C09,cap_125,not_confirmed,endpoint_per_engine,test_monitored_or_tuned,not_reported,no,absent,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass
C10,other_explicit,train_or_source_only,unclear_or_nonindependent,unclear,not_reported,no,absent,yes,none_or_nonreproducible,no,no,C,local_pdf_preflight_pass
C11,other_explicit,not_confirmed,unclear_or_nonindependent,test_monitored_or_tuned,not_reported,no,absent,yes,none_or_nonreproducible,no,no,C,local_pdf_preflight_pass
C12,cap_125,not_confirmed,unclear_or_nonindependent,separate_non_test,exact_values,yes,usable,yes,some_code_path,no,no,B,local_pdf_preflight_pass
C13,cap_125,train_or_source_only,unclear_or_nonindependent,separate_non_test,exact_values,yes,usable,no,none_or_nonreproducible,yes,no,C,remote_exact_fulltext_no_local_preflight
C14,cap_125,train_or_source_only,all_window_or_chunk,separate_non_test,exact_values,yes,usable,no,none_or_nonreproducible,no,no,C,local_pdf_preflight_pass
C15,cap_125,train_or_source_only,endpoint_per_engine,separate_non_test,count_only,yes,usable,yes,none_or_nonreproducible,no,no,B,local_pdf_preflight_pass
C16,cap_125,not_confirmed,unclear_or_nonindependent,unclear,not_reported,yes,absent,yes,none_or_nonreproducible,no,yes,C,local_pdf_preflight_pass
C17,cap_125,not_confirmed,unclear_or_nonindependent,unclear,not_reported,no,absent,yes,none_or_nonreproducible,yes,yes,C,local_pdf_preflight_pass
C18,unreported,train_or_source_only,unclear_or_nonindependent,transductive_no_independent_test,not_reported,no,partial_unclear,yes,none_or_nonreproducible,no,yes,C,local_pdf_preflight_pass
C21,unreported,not_confirmed,unclear_or_nonindependent,transductive_no_independent_test,not_reported,no,absent,yes,some_code_path,no,yes,C,local_pdf_preflight_pass
