run_id,dataset,model,sensor_set,seed,training_label,common_truth,rmse,engine_count,prediction_clipping
kill_v1__fd001__lstm__piecewise_125__all_21__seed11,FD001,lstm,all_21,11,piecewise_125,raw_rul,19.180533297149452,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed11,FD001,lstm,all_21,11,piecewise_125,piecewise_125,17.07005281430255,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed23,FD001,lstm,all_21,23,piecewise_125,raw_rul,26.08204441802896,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed23,FD001,lstm,all_21,23,piecewise_125,piecewise_125,24.120845832022756,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed37,FD001,lstm,all_21,37,piecewise_125,raw_rul,23.781258461962437,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed37,FD001,lstm,all_21,37,piecewise_125,piecewise_125,21.798475168923574,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed53,FD001,lstm,all_21,53,piecewise_125,raw_rul,41.776577675306626,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed53,FD001,lstm,all_21,53,piecewise_125,piecewise_125,40.43025625279525,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed71,FD001,lstm,all_21,71,piecewise_125,raw_rul,19.58422310111007,100,none
kill_v1__fd001__lstm__piecewise_125__all_21__seed71,FD001,lstm,all_21,71,piecewise_125,piecewise_125,17.51805465691264,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed11,FD001,lstm,common_14,11,piecewise_125,raw_rul,30.338289605541004,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed11,FD001,lstm,common_14,11,piecewise_125,piecewise_125,28.543073533696052,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed23,FD001,lstm,common_14,23,piecewise_125,raw_rul,23.099322277883665,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed23,FD001,lstm,common_14,23,piecewise_125,piecewise_125,20.983537342074936,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed37,FD001,lstm,common_14,37,piecewise_125,raw_rul,41.77597446754772,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed37,FD001,lstm,common_14,37,piecewise_125,piecewise_125,40.42947479775951,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed53,FD001,lstm,common_14,53,piecewise_125,raw_rul,19.82192615468882,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed53,FD001,lstm,common_14,53,piecewise_125,piecewise_125,17.83997374323132,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed71,FD001,lstm,common_14,71,piecewise_125,raw_rul,41.7711363960726,100,none
kill_v1__fd001__lstm__piecewise_125__common_14__seed71,FD001,lstm,common_14,71,piecewise_125,piecewise_125,40.423226700757624,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed11,FD001,lstm,all_21,11,linear_uncapped,raw_rul,18.602365353685467,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed11,FD001,lstm,all_21,11,linear_uncapped,piecewise_125,17.086211701161826,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed23,FD001,lstm,all_21,23,linear_uncapped,raw_rul,32.135539196630255,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed23,FD001,lstm,all_21,23,linear_uncapped,piecewise_125,30.820670756039725,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed37,FD001,lstm,all_21,37,linear_uncapped,raw_rul,22.097547983406898,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed37,FD001,lstm,all_21,37,linear_uncapped,piecewise_125,20.405297421483343,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed53,FD001,lstm,all_21,53,linear_uncapped,raw_rul,44.59651995123505,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed53,FD001,lstm,all_21,53,linear_uncapped,piecewise_125,43.63060019949006,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed71,FD001,lstm,all_21,71,linear_uncapped,raw_rul,18.845712306619422,100,none
kill_v1__fd001__lstm__linear_uncapped__all_21__seed71,FD001,lstm,all_21,71,linear_uncapped,piecewise_125,17.11982307981167,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed11,FD001,lstm,common_14,11,linear_uncapped,raw_rul,44.57614145087688,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed11,FD001,lstm,common_14,11,linear_uncapped,piecewise_125,43.608391241514504,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed23,FD001,lstm,common_14,23,linear_uncapped,raw_rul,20.007264018633176,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed23,FD001,lstm,common_14,23,linear_uncapped,piecewise_125,18.32946925062438,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed37,FD001,lstm,common_14,37,linear_uncapped,raw_rul,44.597414923832844,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed37,FD001,lstm,common_14,37,linear_uncapped,piecewise_125,43.63157543231891,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed53,FD001,lstm,common_14,53,linear_uncapped,raw_rul,19.235532168022623,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed53,FD001,lstm,common_14,53,linear_uncapped,piecewise_125,17.798846513972503,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed71,FD001,lstm,common_14,71,linear_uncapped,raw_rul,44.557705302668026,100,none
kill_v1__fd001__lstm__linear_uncapped__common_14__seed71,FD001,lstm,common_14,71,linear_uncapped,piecewise_125,43.588293909822276,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed11,FD001,cnn_1d,all_21,11,piecewise_125,raw_rul,22.166517352605634,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed11,FD001,cnn_1d,all_21,11,piecewise_125,piecewise_125,21.164176809697473,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed23,FD001,cnn_1d,all_21,23,piecewise_125,raw_rul,21.709630169078125,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed23,FD001,cnn_1d,all_21,23,piecewise_125,piecewise_125,20.61200905742385,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed37,FD001,cnn_1d,all_21,37,piecewise_125,raw_rul,22.87221671216418,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed37,FD001,cnn_1d,all_21,37,piecewise_125,piecewise_125,21.86964016845576,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed53,FD001,cnn_1d,all_21,53,piecewise_125,raw_rul,23.03794307234567,100,none
