source,subset,protocol_level_1,protocol_level_2,seed,model_count,spearman_rho,kendall_tau_b,rmse_winner,nasa_winner,winner_conflict,discordant_model_pairs,tie_affected_model_pairs
kill_test,FD001,linear_uncapped,all_21,11,3,0.5,0.33333333333333337,lstm,lstm,False,1,0
kill_test,FD001,linear_uncapped,all_21,23,3,-1.0,-1.0,lightgbm,lstm,True,3,0
kill_test,FD001,linear_uncapped,all_21,37,3,0.5,0.33333333333333337,lstm,lstm,False,1,0
kill_test,FD001,linear_uncapped,all_21,53,3,0.5,0.33333333333333337,lightgbm,cnn_1d,True,1,0
kill_test,FD001,linear_uncapped,all_21,71,3,0.5,0.33333333333333337,lstm,lstm,False,1,0
kill_test,FD001,linear_uncapped,common_14,11,3,0.5,0.33333333333333337,lightgbm,cnn_1d,True,1,0
kill_test,FD001,linear_uncapped,common_14,23,3,0.5,0.33333333333333337,lstm,lstm,False,1,0
kill_test,FD001,linear_uncapped,common_14,37,3,0.5,0.33333333333333337,lightgbm,cnn_1d,True,1,0
kill_test,FD001,linear_uncapped,common_14,53,3,0.5,0.33333333333333337,lstm,lstm,False,1,0
kill_test,FD001,linear_uncapped,common_14,71,3,0.5,0.33333333333333337,lightgbm,cnn_1d,True,1,0
kill_test,FD001,piecewise_125,all_21,11,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD001,piecewise_125,all_21,23,3,0.5,0.33333333333333337,lightgbm,lightgbm,False,1,0
kill_test,FD001,piecewise_125,all_21,37,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD001,piecewise_125,all_21,53,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD001,piecewise_125,all_21,71,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD001,piecewise_125,common_14,11,3,0.5,0.33333333333333337,lightgbm,lightgbm,False,1,0
kill_test,FD001,piecewise_125,common_14,23,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD001,piecewise_125,common_14,37,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD001,piecewise_125,common_14,53,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD001,piecewise_125,common_14,71,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,linear_uncapped,all_21,11,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,linear_uncapped,all_21,23,3,0.5,0.33333333333333337,lightgbm,lightgbm,False,1,0
kill_test,FD004,linear_uncapped,all_21,37,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,linear_uncapped,all_21,53,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,linear_uncapped,all_21,71,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,linear_uncapped,common_14,11,3,0.5,0.33333333333333337,lightgbm,cnn_1d,True,1,0
kill_test,FD004,linear_uncapped,common_14,23,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,linear_uncapped,common_14,37,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,linear_uncapped,common_14,53,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,linear_uncapped,common_14,71,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,all_21,11,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,all_21,23,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,all_21,37,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,all_21,53,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,all_21,71,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,common_14,11,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,common_14,23,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,common_14,37,3,1.0,1.0,lightgbm,lightgbm,False,0,0
kill_test,FD004,piecewise_125,common_14,53,3,1.0,1.0,lightgbm,lightgbm,False,0,0
