subset,output_mode,model_a,model_b,model_a_wins,model_b_wins,seed_ties,opposite_order_seed_pairs,evaluated_seed_pairs,opposite_order_fraction
FD001,point,lstm,cnn_1d,2,3,0,6,10,0.6
FD001,point,lstm,transformer,0,5,0,0,10,0.0
FD001,point,lstm,lightgbm,0,5,0,0,10,0.0
FD001,point,cnn_1d,transformer,0,5,0,0,10,0.0
FD001,point,cnn_1d,lightgbm,0,5,0,0,10,0.0
FD001,point,transformer,lightgbm,4,1,0,4,10,0.4
FD001,quantile,lstm,cnn_1d,0,5,0,0,10,0.0
FD001,quantile,lstm,transformer,0,5,0,0,10,0.0
FD001,quantile,lstm,lightgbm,0,5,0,0,10,0.0
FD001,quantile,cnn_1d,transformer,0,5,0,0,10,0.0
FD001,quantile,cnn_1d,lightgbm,0,5,0,0,10,0.0
FD001,quantile,transformer,lightgbm,4,1,0,4,10,0.4
FD002,point,lstm,cnn_1d,0,5,0,0,10,0.0
FD002,point,lstm,transformer,0,5,0,0,10,0.0
FD002,point,lstm,lightgbm,0,5,0,0,10,0.0
FD002,point,cnn_1d,transformer,2,3,0,6,10,0.6
FD002,point,cnn_1d,lightgbm,0,5,0,0,10,0.0
FD002,point,transformer,lightgbm,0,5,0,0,10,0.0
FD002,quantile,lstm,cnn_1d,0,5,0,0,10,0.0
FD002,quantile,lstm,transformer,3,2,0,6,10,0.6
FD002,quantile,lstm,lightgbm,0,5,0,0,10,0.0
FD002,quantile,cnn_1d,transformer,3,2,0,6,10,0.6
FD002,quantile,cnn_1d,lightgbm,0,5,0,0,10,0.0
FD002,quantile,transformer,lightgbm,0,5,0,0,10,0.0
FD003,point,lstm,cnn_1d,1,4,0,4,10,0.4
FD003,point,lstm,transformer,0,5,0,0,10,0.0
FD003,point,lstm,lightgbm,0,5,0,0,10,0.0
FD003,point,cnn_1d,transformer,0,5,0,0,10,0.0
FD003,point,cnn_1d,lightgbm,0,5,0,0,10,0.0
FD003,point,transformer,lightgbm,5,0,0,0,10,0.0
FD003,quantile,lstm,cnn_1d,0,5,0,0,10,0.0
FD003,quantile,lstm,transformer,0,5,0,0,10,0.0
FD003,quantile,lstm,lightgbm,0,5,0,0,10,0.0
FD003,quantile,cnn_1d,transformer,0,5,0,0,10,0.0
FD003,quantile,cnn_1d,lightgbm,0,5,0,0,10,0.0
FD003,quantile,transformer,lightgbm,5,0,0,0,10,0.0
FD004,point,lstm,cnn_1d,0,5,0,0,10,0.0
FD004,point,lstm,transformer,0,5,0,0,10,0.0
FD004,point,lstm,lightgbm,0,5,0,0,10,0.0
FD004,point,cnn_1d,transformer,1,4,0,4,10,0.4
FD004,point,cnn_1d,lightgbm,0,5,0,0,10,0.0
FD004,point,transformer,lightgbm,0,5,0,0,10,0.0
FD004,quantile,lstm,cnn_1d,0,5,0,0,10,0.0
FD004,quantile,lstm,transformer,4,1,0,4,10,0.4
FD004,quantile,lstm,lightgbm,0,5,0,0,10,0.0
FD004,quantile,cnn_1d,transformer,4,1,0,4,10,0.4
FD004,quantile,cnn_1d,lightgbm,0,5,0,0,10,0.0
FD004,quantile,transformer,lightgbm,0,5,0,0,10,0.0
