subset,model_a,model_b,evaluated_seeds,strict_ranking_flip_count,tie_affected_seed_count,strict_ranking_flip_rate
FD001,lstm,cnn_1d,5,2,0,0.4
FD001,lstm,transformer,5,0,0,0.0
FD001,lstm,lightgbm,5,0,0,0.0
FD001,cnn_1d,transformer,5,0,0,0.0
FD001,cnn_1d,lightgbm,5,0,0,0.0
FD001,transformer,lightgbm,5,0,0,0.0
FD002,lstm,cnn_1d,5,0,0,0.0
FD002,lstm,transformer,5,3,0,0.6
FD002,lstm,lightgbm,5,0,0,0.0
FD002,cnn_1d,transformer,5,3,0,0.6
FD002,cnn_1d,lightgbm,5,0,0,0.0
FD002,transformer,lightgbm,5,0,0,0.0
FD003,lstm,cnn_1d,5,1,0,0.2
FD003,lstm,transformer,5,0,0,0.0
FD003,lstm,lightgbm,5,0,0,0.0
FD003,cnn_1d,transformer,5,0,0,0.0
FD003,cnn_1d,lightgbm,5,0,0,0.0
FD003,transformer,lightgbm,5,0,0,0.0
FD004,lstm,cnn_1d,5,0,0,0.0
FD004,lstm,transformer,5,4,0,0.8
FD004,lstm,lightgbm,5,0,0,0.0
FD004,cnn_1d,transformer,5,3,0,0.6
FD004,cnn_1d,lightgbm,5,0,0,0.0
FD004,transformer,lightgbm,5,0,0,0.0
