comparison_id,comparison_type,level_a,level_b,test_engines,seed_count,coverage_a,coverage_b,coverage_delta_b_minus_a,coverage_delta_ci95_low,coverage_delta_ci95_high,absolute_coverage_error_change,mean_width_a,mean_width_b,mean_width_delta_b_minus_a,mean_width_delta_ci95_low,mean_width_delta_ci95_high,positive_coverage_delta_seeds,positive_width_delta_seeds,subset,model
cqr_calibration__FD001__cnn_1d,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,100,5,0.8371834738512233,0.9486202293169351,0.11143675546571186,0.08587116869305915,0.13909356814223992,-0.014196296831841648,62.484526143003876,82.11425941937107,19.62973327636719,19.629733276367183,19.629733276367187,5,5,FD001,cnn_1d
cqr_calibration__FD001__lightgbm,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,100,5,0.8993877344597833,0.9199959807819745,0.02060824632219127,0.015047549945260063,0.026544166352856193,0.01938371524175775,41.14077165522605,46.23753608458661,5.096764429360562,5.096764429360574,5.096764429360576,5,5,FD001,lightgbm
cqr_calibration__FD001__lstm,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,100,5,0.3159732505247797,0.8275482136954827,0.511574963170703,0.4653244924736686,0.5575843666219644,-0.511574963170703,91.48267810124095,124.41307360905341,32.93039550781246,32.9303955078125,32.9303955078125,5,5,FD001,lstm
cqr_calibration__FD001__transformer,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,100,5,0.8293968506996948,0.9155300935583763,0.08613324285868151,0.07690399286327594,0.0956403798960414,-0.05507305574192889,32.46295423033052,39.993322272322715,7.5303680419921974,7.5303680419921895,7.530368041992191,5,5,FD001,transformer
cqr_calibration__FD002__cnn_1d,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,259,5,0.7840584225113754,0.9170464559522232,0.13298803344084786,0.1153683835971577,0.1513335897737133,-0.09889512153640145,62.36210712221053,77.39921497133162,15.037107849121085,15.037107849121096,15.037107849121096,5,5,FD002,cnn_1d
cqr_calibration__FD002__lightgbm,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,259,5,0.9367557222307249,0.9454843775858717,0.008728655355146775,0.006282565587140381,0.011582676644872367,0.008728655355146775,51.792236190384614,54.49490621545352,2.7026700250689046,2.702670025068899,2.7026700250689006,5,5,FD002,lightgbm
cqr_calibration__FD002__lstm,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,259,5,0.30747592401838786,0.8212777232518614,0.5138017992334736,0.4877761037475295,0.5399517029138913,-0.5138017992334736,89.35072380220143,126.50845390474049,37.15773010253906,37.15773010253906,37.15773010253906,5,5,FD002,lstm
cqr_calibration__FD002__transformer,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,259,5,0.5571605520669878,0.8972393007708633,0.34007874870387556,0.3223778593198308,0.3578515132170995,-0.34007874870387556,77.05952796052519,99.41579321931424,22.35626525878905,22.35626525878906,22.35626525878906,5,5,FD002,transformer
cqr_calibration__FD003__cnn_1d,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,100,5,0.7352980070941658,0.9385516295931076,0.20325362249894174,0.1632457398245771,0.24592290363655808,-0.12615036331272667,42.07138331101053,67.78540308640115,25.714019775390618,25.714019775390625,25.714019775390625,5,5,FD003,cnn_1d
cqr_calibration__FD003__lightgbm,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,100,5,0.8678852459645259,0.9327889388265789,0.064903692862053,0.051131077417884176,0.07979707205344297,0.0006741847911047039,29.103417812092317,46.14710492311387,17.043687111021555,17.04368711102156,17.043687111021562,5,5,FD003,lightgbm
cqr_calibration__FD003__lstm,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,100,5,0.2609204186661419,0.764975995353377,0.5040555766872351,0.4449688119701184,0.5628038277345216,-0.5040555766872351,84.42275751201294,122.88098505107546,38.45822753906252,38.4582275390625,38.4582275390625,5,5,FD003,lstm
cqr_calibration__FD003__transformer,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,100,5,0.805491266759672,0.9011875253170952,0.09569625855742325,0.08390772547770962,0.10780041901745074,-0.09332120792323284,21.28522411052606,29.941966206473325,8.656742095947266,8.656742095947266,8.656742095947266,5,5,FD003,transformer
cqr_calibration__FD004__cnn_1d,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,248,5,0.7548533734121227,0.9496143261384843,0.19476095272636162,0.17060705666099582,0.22018967939454595,-0.09553230044939309,55.381618704052855,67.85355931684582,12.471940612792963,12.471940612792967,12.471940612792967,5,5,FD004,cnn_1d
cqr_calibration__FD004__lightgbm,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,248,5,0.9035529971531393,0.9258647304477641,0.02231173329462477,0.017531732087451804,0.027345071422503805,0.02231173329462477,37.67545487393002,46.53954905996247,8.864094186032446,8.864094186032446,8.864094186032448,5,5,FD004,lightgbm
cqr_calibration__FD004__lstm,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,248,5,0.2085565192254383,0.8742804010431751,0.6657238818177368,0.6398849450121267,0.6907457624552441,-0.6657238818177368,78.96183427565775,127.4127986311265,48.450964355468756,48.45096435546874,48.45096435546874,5,5,FD004,lstm
cqr_calibration__FD004__transformer,within_quantile_model_calibration,uncalibrated_q10_q90,cqr,248,5,0.41104065701229026,0.9383639249425442,0.527323267930254,0.500185143410438,0.5541604670706668,-0.4505954180451656,83.55305607775455,99.00524647692447,15.452190399169922,15.452190399169922,15.452190399169922,5,5,FD004,transformer
