comparison_id,comparison_type,level_a,level_b,test_engines,seed_count,coverage_a,coverage_b,coverage_delta_b_minus_a,coverage_delta_ci95_low,coverage_delta_ci95_high,absolute_coverage_error_change,mean_width_a,mean_width_b,mean_width_delta_b_minus_a,mean_width_delta_ci95_low,mean_width_delta_ci95_high,positive_coverage_delta_seeds,positive_width_delta_seeds,subset,model
method__FD001__cnn_1d,method_bundle,residual_split_cp_point_model,cqr_quantile_model,100,5,0.9522459443823226,0.9486202293169351,-0.003625715065387447,-0.013359754386044679,0.00580033162661981,-0.003625715065387447,80.03912963867185,82.11425941937107,2.075129780699214,1.6584162562267333,2.497075848325559,2,4,FD001,cnn_1d
method__FD001__lightgbm,method_bundle,residual_split_cp_point_model,cqr_quantile_model,100,5,0.9365946538713384,0.9199959807819745,-0.016598673089363913,-0.041249138328624306,0.00839399103280494,-0.016598673089363913,56.87264251535644,46.23753608458661,-10.63510643076983,-13.670317827570557,-7.638336474023936,0,0,FD001,lightgbm
method__FD001__lstm,method_bundle,residual_split_cp_point_model,cqr_quantile_model,100,5,0.9491243478602136,0.8275482136954827,-0.1215761341647309,-0.16298041906253055,-0.08150269554592939,0.02332743844430374,93.85088500976565,124.41307360905341,30.562188599287765,30.56218228803526,30.56219483049242,0,3,FD001,lstm
method__FD001__transformer,method_bundle,residual_split_cp_point_model,cqr_quantile_model,100,5,0.9070438598729951,0.9155300935583763,0.008486233685381261,0.0015816853320995182,0.015693540779449566,0.008486233685381261,45.903704833984364,39.993322272322715,-5.910382561661649,-6.458775874952363,-5.349010682108443,5,1,FD001,transformer
method__FD002__cnn_1d,method_bundle,residual_split_cp_point_model,cqr_quantile_model,259,5,0.9402910405856802,0.9170464559522232,-0.02324458463345702,-0.03246144084871355,-0.015140470724480137,-0.02324458463345702,91.03383789062501,77.39921497133162,-13.634622919293392,-14.960935899366495,-12.32464988832183,0,0,FD002,cnn_1d
method__FD002__lightgbm,method_bundle,residual_split_cp_point_model,cqr_quantile_model,259,5,0.9336445049120591,0.9454843775858717,0.01183987267381259,-0.004047791121129187,0.027840967079947036,0.01183987267381259,68.51174905574365,54.49490621545352,-14.016842840290131,-16.169911853824992,-11.85826964223562,5,0,FD002,lightgbm
method__FD002__lstm,method_bundle,residual_split_cp_point_model,cqr_quantile_model,259,5,0.9906229885279408,0.8212777232518614,-0.1693452652760794,-0.18961928796972988,-0.1503016177027874,-0.011900711779802231,127.48486633300786,126.50845390474049,-0.9764124282673663,-0.9764295551872606,-0.976396959631826,0,2,FD002,lstm
method__FD002__transformer,method_bundle,residual_split_cp_point_model,cqr_quantile_model,259,5,0.9603165350274072,0.8972393007708633,-0.06307723425654388,-0.07282992003628655,-0.05333831387057857,-0.057555835798270505,95.58848571777344,99.41579321931424,3.827307501540801,3.2407065849994305,4.412603119525302,1,2,FD002,transformer
method__FD003__cnn_1d,method_bundle,residual_split_cp_point_model,cqr_quantile_model,100,5,0.9476956084342951,0.9385516295931076,-0.009143978841187561,-0.01866927363812692,-0.000911709596806514,-0.009143978841187561,84.95026855468747,67.78540308640115,-17.164865468286322,-19.707778688720303,-14.613864308386088,1,0,FD003,cnn_1d
method__FD003__lightgbm,method_bundle,residual_split_cp_point_model,cqr_quantile_model,100,5,0.9498549731232353,0.9327889388265789,-0.01706603429665643,-0.03390847643347341,-0.0011923189628518756,-0.01706603429665643,60.580307620229654,46.14710492311387,-14.433202697115782,-17.665417711495074,-11.100931127856098,0,0,FD003,lightgbm
method__FD003__lstm,method_bundle,residual_split_cp_point_model,cqr_quantile_model,100,5,0.9858774786856505,0.764975995353377,-0.22090148333227344,-0.2818212913798724,-0.16257777005763546,0.049146525960972576,121.81174011230475,122.88098505107546,1.0692449387707086,1.069228072067935,1.0692609276148355,0,1,FD003,lstm
method__FD003__transformer,method_bundle,residual_split_cp_point_model,cqr_quantile_model,100,5,0.9036075686984728,0.9011875253170952,-0.002420043381377579,-0.013438519030722317,0.008107026597083154,-0.002420043381377579,43.10557861328124,29.941966206473325,-13.163612406807914,-15.243434056776739,-11.091416066410607,1,0,FD003,transformer
method__FD004__cnn_1d,method_bundle,residual_split_cp_point_model,cqr_quantile_model,248,5,0.9302218521187721,0.9496143261384843,0.019392474019712225,0.01010964852799227,0.029648091646114025,0.019392474019712225,83.6168212890625,67.85355931684582,-15.763261972216682,-17.866408665493193,-13.688510272459759,5,0,FD004,cnn_1d
method__FD004__lightgbm,method_bundle,residual_split_cp_point_model,cqr_quantile_model,248,5,0.911647698532583,0.9258647304477641,0.014217031915181089,-0.0003918359508404265,0.030226568715009047,0.014217031915181089,62.120549577858085,46.53954905996247,-15.581000517895617,-17.90235687997091,-13.200881738509288,5,0,FD004,lightgbm
method__FD004__lstm,method_bundle,residual_split_cp_point_model,cqr_quantile_model,248,5,0.9897904531994389,0.8742804010431751,-0.11551005215626386,-0.1299571555586874,-0.10117011686616083,-0.06407085424261394,133.3814147949219,127.4127986311265,-5.968616163795403,-5.968627325016755,-5.968603940486966,0,0,FD004,lstm
method__FD004__transformer,method_bundle,residual_split_cp_point_model,cqr_quantile_model,248,5,0.9295981556084374,0.9383639249425442,0.008765769334106777,-0.004829482169717845,0.023139429077206883,0.008765769334106777,83.37838592529297,99.00524647692447,15.626860551631495,15.231968535277797,16.022153842252532,4,3,FD004,transformer
