comparison_id,comparison_type,level_a,level_b,test_engines,seed_count,coverage_a,coverage_b,coverage_delta_b_minus_a,coverage_delta_ci95_low,coverage_delta_ci95_high,absolute_coverage_error_change,mean_width_a,mean_width_b,mean_width_delta_b_minus_a,mean_width_delta_ci95_low,mean_width_delta_ci95_high,positive_coverage_delta_seeds,positive_width_delta_seeds,effect_type,dataset,model,held_level
label__FD001__cnn_1d__all_21,protocol,piecewise_125,linear_uncapped,100,5,0.9530834476989053,0.9037714160207022,-0.04931203167820308,-0.07798410270888885,-0.023054799925942674,-0.04931203167820308,79.97477722167969,131.0618774414063,51.08710021972661,51.08710021972655,51.08710021972655,0,5,rul_label,FD001,cnn_1d,all_21
label__FD001__cnn_1d__common_14,protocol,piecewise_125,linear_uncapped,100,5,0.9522459443823226,0.9014162850444981,-0.05082965933782446,-0.08022616927373498,-0.02430100152148766,-0.05082965933782446,80.03912963867185,130.5798583984375,50.54072875976564,50.540728759765614,50.540728759765614,0,5,rul_label,FD001,cnn_1d,common_14
label__FD001__lightgbm__all_21,protocol,piecewise_125,linear_uncapped,100,5,0.9365946538713384,0.8684618307965271,-0.06813282307481139,-0.10116915757378044,-0.038177960755851496,-0.005056484667865457,56.87264251535644,106.16182071709885,49.28917820174241,49.28917820174238,49.28917820174238,0,5,rul_label,FD001,lightgbm,all_21
label__FD001__lightgbm__common_14,protocol,piecewise_125,linear_uncapped,100,5,0.9365946538713384,0.8628930847291929,-0.07370156914214554,-0.10706183536175158,-0.043046075545768746,0.0005122613994686942,56.87264251535644,103.33777341364188,46.465130898285445,46.46513089828548,46.46513089828549,0,5,rul_label,FD001,lightgbm,common_14
label__FD001__lstm__all_21,protocol,piecewise_125,linear_uncapped,100,5,0.9322888134623664,0.8698042830597735,-0.06248453040259283,-0.10070616796300257,-0.026385766871217926,-0.002093096522139848,79.94887084960938,154.5248016357422,74.57593078613282,74.57593078613282,74.57593078613282,1,5,rul_label,FD001,lstm,all_21
label__FD001__lstm__common_14,protocol,piecewise_125,linear_uncapped,100,5,0.9491243478602136,0.8779496267953703,-0.07117472106484335,-0.10844296585313078,-0.03594150592904128,-0.02707397465558381,93.85088500976565,161.1056030273437,67.25471801757806,67.25471801757813,67.25471801757813,0,5,rul_label,FD001,lstm,common_14
label__FD004__cnn_1d__all_21,protocol,piecewise_125,linear_uncapped,248,5,0.9157648189826824,0.8638485598225567,-0.051916259160125655,-0.07909048008230404,-0.024707756420741304,0.02038662119476098,74.585791015625,171.3179840087891,96.73219299316409,96.73219299316406,96.73219299316406,0,5,rul_label,FD004,cnn_1d,all_21
label__FD004__cnn_1d__common_14,protocol,piecewise_125,linear_uncapped,248,5,0.9302218521187721,0.8572066609403043,-0.07301519117846778,-0.09988630928312196,-0.046612671790720886,0.012571486940923693,83.6168212890625,173.14498291015622,89.52816162109372,89.52816162109373,89.52816162109373,0,5,rul_label,FD004,cnn_1d,common_14
label__FD004__lightgbm__all_21,protocol,piecewise_125,linear_uncapped,248,5,0.9171250266524525,0.880016118440455,-0.03710890821199753,-0.06424776588253683,-0.009959830406589034,0.0028588549070924785,64.55800626154019,164.56598424114506,100.00797797960487,100.00797797960483,100.00797797960485,0,5,rul_label,FD004,lightgbm,all_21
label__FD004__lightgbm__common_14,protocol,piecewise_125,linear_uncapped,248,5,0.911647698532583,0.8743264412433515,-0.037321257289231524,-0.06633859220060792,-0.00857995733612682,0.0140258602240656,62.120549577858085,163.19646698771976,101.07591740986167,101.07591740986166,101.07591740986166,0,5,rul_label,FD004,lightgbm,common_14
label__FD004__lstm__all_21,protocol,piecewise_125,linear_uncapped,248,5,0.9898163699924208,0.8490395090626124,-0.14077686092980846,-0.16981570975991805,-0.11262171397532796,-0.03885587905503318,133.32124938964847,220.38619995117188,87.0649505615234,87.06495056152342,87.06495056152342,0,5,rul_label,FD004,lstm,all_21
label__FD004__lstm__common_14,protocol,piecewise_125,linear_uncapped,248,5,0.9897904531994389,0.849359923112535,-0.14043053008690387,-0.16987016032164898,-0.11254271143568421,-0.03915037631197393,133.3814147949219,220.27915039062503,86.89773559570312,86.89773559570312,86.89773559570312,0,5,rul_label,FD004,lstm,common_14
sensor__FD001__cnn_1d__linear_uncapped,protocol,all_21,common_14,100,5,0.9037714160207022,0.9014162850444981,-0.0023551309762041006,-0.005163319188996147,0.0002805557787414605,-0.0023551309762041006,131.0618774414063,130.5798583984375,-0.48201904296880116,-0.48201904296875,-0.48201904296875,1,2,sensor_set,FD001,cnn_1d,linear_uncapped
sensor__FD001__cnn_1d__piecewise_125,protocol,all_21,common_14,100,5,0.9530834476989053,0.9522459443823226,-0.0008375033165827217,-0.003927984011527925,0.0017927886564352044,-0.0008375033165827217,79.97477722167969,80.03912963867185,0.06435241699216476,0.06435241699218752,0.06435241699218752,2,3,sensor_set,FD001,cnn_1d,piecewise_125
sensor__FD001__lightgbm__linear_uncapped,protocol,all_21,common_14,100,5,0.8684618307965271,0.8628930847291929,-0.0055687460673341516,-0.009319011246415626,-0.002100887638585586,0.0055687460673341516,106.16182071709885,103.33777341364188,-2.8240473034569646,-2.824047303456896,-2.8240473034568923,0,0,sensor_set,FD001,lightgbm,linear_uncapped
sensor__FD001__lightgbm__piecewise_125,protocol,all_21,common_14,100,5,0.9365946538713384,0.9365946538713384,0.0,0.0,0.0,0.0,56.87264251535644,56.87264251535644,0.0,0.0,0.0,0,0,sensor_set,FD001,lightgbm,piecewise_125
sensor__FD001__lstm__linear_uncapped,protocol,all_21,common_14,100,5,0.8698042830597735,0.8779496267953703,0.008145343735596722,0.005938473478845339,0.010630029500962312,-0.008145343735596722,154.5248016357422,161.1056030273437,6.580801391601511,6.580801391601563,6.580801391601563,3,3,sensor_set,FD001,lstm,linear_uncapped
sensor__FD001__lstm__piecewise_125,protocol,all_21,common_14,100,5,0.9322888134623664,0.9491243478602136,0.01683553439784724,0.009160048160086347,0.02521843349619691,0.01683553439784724,79.94887084960938,93.85088500976565,13.90201416015627,13.902014160156257,13.902014160156257,3,3,sensor_set,FD001,lstm,piecewise_125
sensor__FD004__cnn_1d__linear_uncapped,protocol,all_21,common_14,248,5,0.8638485598225567,0.8572066609403043,-0.006641898882252417,-0.013297390374591916,-0.0002294836222689226,0.006641898882252417,171.3179840087891,173.14498291015622,1.8269989013671193,1.8269989013671872,1.8269989013671872,1,3,sensor_set,FD004,cnn_1d,linear_uncapped
sensor__FD004__cnn_1d__piecewise_125,protocol,all_21,common_14,248,5,0.9157648189826824,0.9302218521187721,0.014457033136089703,0.007994014337205393,0.021444579144838938,0.014457033136089703,74.585791015625,83.6168212890625,9.031030273437494,9.031030273437498,9.031030273437498,5,5,sensor_set,FD004,cnn_1d,piecewise_125
sensor__FD004__lightgbm__linear_uncapped,protocol,all_21,common_14,248,5,0.880016118440455,0.8743264412433515,-0.00568967719710356,-0.01736054424017496,0.0041250754379423575,0.00568967719710356,164.56598424114506,163.19646698771976,-1.3695172534253004,-1.3695172534252726,-1.3695172534252713,0,0,sensor_set,FD004,lightgbm,linear_uncapped
sensor__FD004__lightgbm__piecewise_125,protocol,all_21,common_14,248,5,0.9171250266524525,0.911647698532583,-0.005477328119869562,-0.008819064836068657,-0.0020451329106206044,-0.005477328119869562,64.55800626154019,62.120549577858085,-2.4374566836821003,-2.437456683682129,-2.4374566836821274,0,0,sensor_set,FD004,lightgbm,piecewise_125
sensor__FD004__lstm__linear_uncapped,protocol,all_21,common_14,248,5,0.8490395090626124,0.849359923112535,0.0003204140499226682,0.00023757370002226922,0.0004089132174817926,-0.0003204140499226682,220.38619995117188,220.27915039062503,-0.1070495605468409,-0.10704956054687503,-0.10704956054687503,3,1,sensor_set,FD004,lstm,linear_uncapped
sensor__FD004__lstm__piecewise_125,protocol,all_21,common_14,248,5,0.9898163699924208,0.9897904531994389,-2.591679298191707e-05,-6.815084052703308e-05,0.0,-2.591679298191707e-05,133.32124938964847,133.3814147949219,0.0601654052734375,0.0601654052734375,0.0601654052734375,0,4,sensor_set,FD004,lstm,piecewise_125
