uq_run_id,panel,dataset,subset,model,seed,method,rul_label,sensor_set,source_run_id,calibration_windows,calibration_engines,conformal_rank,qhat,endpoint_coverage,endpoint_mean_interval_width,engine_balanced_coverage,engine_balanced_mean_interval_width,pooled_window_coverage,pooled_window_mean_interval_width,test_engines,test_windows,base_endpoint_coverage,base_endpoint_mean_interval_width,base_engine_balanced_coverage,base_engine_balanced_mean_interval_width,base_pooled_window_coverage,base_pooled_window_mean_interval_width,base_test_engines,base_test_windows
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,11,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed11,2629,15,2367,65.16905212402344,0.98,130.33810424804688,0.9001417231029848,130.33810424804688,0.8628874068262063,130.33810424804688,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,11,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed11,2629,15,2367,66.36135864257812,0.98,132.72271728515625,0.9056765136376843,132.72271728515625,0.8697528442526481,132.72271728515625,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,11,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed11,2629,15,2367,40.090972900390625,0.93,80.18194580078125,0.9562227377085115,80.18194580078125,0.9441938014907807,80.18194580078125,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,11,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed11,2629,15,2367,39.823448181152344,0.92,79.64689636230469,0.9557538807985153,79.64689636230469,0.9448803452334249,79.64689636230469,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,23,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed23,2629,15,2367,65.04252624511719,0.96,130.08505249023438,0.9069048949808188,130.08505249023438,0.8713220870929776,130.08505249023438,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,23,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed23,2629,15,2367,65.88028717041016,0.98,131.7605743408203,0.9006995670932396,131.7605743408203,0.8637701059238917,131.7605743408203,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,23,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed23,2629,15,2367,40.801849365234375,0.92,81.60369873046875,0.9545914262324942,81.60369873046875,0.9421341702628482,81.60369873046875,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,23,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed23,2629,15,2367,41.183563232421875,0.92,82.36712646484375,0.9493249099346661,82.36712646484375,0.9371322087092978,82.36712646484375,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,37,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed37,2629,15,2367,65.10568237304688,0.98,130.21136474609375,0.9005911627554785,130.21136474609375,0.8643585719890153,130.21136474609375,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,37,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed37,2629,15,2367,64.19279479980469,0.98,128.38558959960938,0.8957570587013421,128.38558959960938,0.8597489211455472,128.38558959960938,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,37,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed37,2629,15,2367,39.64228820800781,0.92,79.28457641601562,0.9551722158875637,79.28457641601562,0.9422322479403688,79.28457641601562,100,10196,,,,,,,,
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,37,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed37,2629,15,2367,39.76618957519531,0.92,79.53237915039062,0.9512062872224587,79.53237915039062,0.9400745390349157,79.53237915039062,100,10196,,,,,,,,
